,+/-,3P,3P%,3PA,AST,Away,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,G#,GS,GmSc,MP,ORB,Opp,PF,PTS,Result,STL,Season,Series,TOV,TRB,Tm
0,+7,0,.000,1,7,,0,1,2009-10-28,7,.583,12,0,,0,1,1,1,15.5,35:39,1,HOU,2,14,L (-1),4,2009-2010,Regular Season,2,2,GSW
1,-19,2,.667,3,4,@,0,2,2009-10-30,5,.556,9,0,,0,2,1,1,7.1,39:05,0,PHO,5,12,L (-22),1,2009-2010,Regular Season,3,2,GSW
2,-4,1,.500,2,9,,0,5,2009-11-04,3,.500,6,0,,0,3,1,1,11.2,28:27,0,MEM,4,7,W (+8),2,2009-2010,Regular Season,1,5,GSW
3,-13,0,.000,1,3,,0,1,2009-11-06,1,.200,5,3,.750,4,4,1,1,1.5,21:32,0,LAC,6,5,L (-28),0,2009-2010,Regular Season,0,1,GSW
4,-5,1,.500,2,6,@,0,3,2009-11-08,4,.500,8,0,.000,2,5,1,1,3.4,31:15,1,SAC,4,9,L (-13),0,2009-2010,Regular Season,5,4,GSW
5,+28,1,.500,2,5,,0,2,2009-11-09,2,.250,8,3,.750,4,6,1,1,5.5,29:49,0,MIN,1,8,W (+41),1,2009-2010,Regular Season,2,2,GSW
6,-13,0,.000,2,4,@,0,1,2009-11-11,3,.429,7,0,,0,7,1,0,2.6,21:11,0,IND,2,6,L (-14),1,2009-2010,Regular Season,3,1,GSW
7,+3,0,,0,0,@,1,0,2009-11-13,0,,0,0,,0,8,1,0,0.3,2:35,0,NYK,1,0,W (+14),0,2009-2010,Regular Season,0,0,GSW
8,+2,2,1.000,2,2,@,1,3,2009-11-14,6,.667,9,0,,0,9,1,0,12.8,25:57,1,MIL,5,14,L (-4),2,2009-2010,Regular Season,1,4,GSW
9,-4,2,.333,6,7,@,0,5,2009-11-17,6,.600,10,0,.000,1,10,1,1,11.6,41:18,0,CLE,2,14,L (-6),0,2009-2010,Regular Season,3,5,GSW
10,+5,1,.250,4,7,@,0,0,2009-11-18,4,.400,10,4,1.000,4,11,1,1,9.3,35:24,0,BOS,3,13,L (-14),4,2009-2010,Regular Season,6,0,GSW
